Latitude_Degrees,Longitude_Degrees,Realm_Name,Exposure,Date_Year,Date_Month,Depth_m,Temperature_Mean,TSA_DHW,TSA_Frequency,Bleaching_Category,Bleaching_Binary
12.4858,-61.4827,Tropical Atlantic,Sheltered,2019,6,11.0,300.41,0.0,0.0,none,none
11.3265,-60.5753,Tropical Atlantic,Exposed,2019,10,9.6,300.42,2.25,2.0,none,none
17.9385,-87.9349,Tropical Atlantic,Exposed,2019,6,10.0,300.93,0.0,0.0,none,none
17.2125,-62.6548,Tropical Atlantic,Sheltered,2019,6,10.5,300.38,0.0,0.29,none,none
17.1861,-62.6806,Tropical Atlantic,Sheltered,2019,6,13.0,300.45,0.0,0.0,none,none
13.3186,-81.4019,Tropical Atlantic,Sheltered,2019,3,9.0,300.74,0.0,0.0,none,none
11.3282,-60.5505,Tropical Atlantic,Sheltered,2019,10,10.3,300.42,1.77,1.6,none,none
13.3524,-81.4074,Tropical Atlantic,Sheltered,2019,3,6.0,300.74,0.0,3.0,none,none
17.2231,-62.6606,Tropical Atlantic,Sheltered,2019,6,12.0,300.4,0.0,0.0,none,none
11.3331,-60.5561,Tropical Atlantic,Sheltered,2019,10,11.0,300.32,2.48,2.0,none,none
11.3542,-60.5276,Tropical Atlantic,Sheltered,2019,4,10.1,300.4,0.0,1.0,none,none
18.4929,-66.3952,Tropical Atlantic,Exposed,2019,3,3.4,300.44,0.0,0.0,none,none
11.3384,-60.55,Tropical Atlantic,Sometimes,2019,10,10.5,300.32,2.48,2.0,none,none
16.1999,-61.4898,Tropical Atlantic,Sheltered,2019,5,0.5,300.45,0.0,1.0,none,none
16.2399,-61.2852,Tropical Atlantic,Exposed,2019,5,9.0,300.34,0.0,0.0,none,none
15.9539,-61.7104,Tropical Atlantic,Sheltered,2019,5,10.0,300.55,0.0,0.0,none,none
12.4878,-61.4906,Tropical Atlantic,Sheltered,2019,6,10.5,300.41,0.0,0.0,none,none
17.1661,-62.6353,Tropical Atlantic,Sheltered,2019,6,11.0,300.43,0.0,0.0,none,none
11.3257,-60.5946,Tropical Atlantic,Sometimes,2019,4,11.2,300.36,0.0,0.5,none,none
13.3128,-81.3743,Tropical Atlantic,Sheltered,2019,3,8.0,300.74,0.0,0.0,none,none
12.4506,-61.4944,Tropical Atlantic,Sheltered,2019,6,7.0,300.46,0.0,0.0,none,none
15.8726,-61.31,Tropical Atlantic,Sheltered,2019,5,7.5,300.41,0.0,0.2,none,none
17.8339,-87.9939,Tropical Atlantic,Sheltered,2019,6,3.0,301.07,0.0,1.0,none,none
25.6626,-79.3077,Tropical Atlantic,Sheltered,2019,8,5.0,300.17,2.56,2.0,none,none
15.8764,-61.6017,Tropical Atlantic,Sheltered,2019,5,8.5,300.43,0.0,0.0,none,none
11.2943,-60.6714,Tropical Atlantic,Sheltered,2019,4,10.2,300.43,0.0,1.0,none,none
16.4312,-61.5429,Tropical Atlantic,Sheltered,2019,5,13.0,300.38,0.0,0.0,none,none
13.3152,-81.3743,Tropical Atlantic,Sheltered,2019,3,12.0,300.74,0.0,0.0,none,none
11.3209,-60.5585,Tropical Atlantic,Sheltered,2019,4,10.2,300.42,0.0,0.4,none,none
16.1751,-61.1056,Tropical Atlantic,Exposed,2019,5,2.0,300.31,0.0,0.0,none,none
16.1384,-61.7757,Tropical Atlantic,Sheltered,2019,5,5.0,300.77,0.0,0.0,none,none
12.4953,-61.4658,Tropical Atlantic,Sheltered,2018,7,3.0,300.41,0.0,3.0,none,none
15.2068,-61.3492,Tropical Atlantic,Sometimes,2018,1,16.0,300.51,0.0,0.5,none,none
14.457,-60.9219,Tropical Atlantic,Sheltered,2018,5,8.0,300.42,0.0,1.33,none,none
1.6988,7.4055,Tropical Atlantic,Sometimes,2018,9,7.0,300.14,0.0,0.0,mild,bleaching
17.8935,-62.8551,Tropical Atlantic,Sheltered,2018,8,13.0,300.24,0.0,0.0,none,none
11.2554,-60.5373,Tropical Atlantic,Exposed,2018,10,10.0,300.54,0.0,0.0,none,none
12.5052,-81.8148,Tropical Atlantic,Sheltered,2018,10,12.0,300.72,1.19,2.0,mild,bleaching
17.2157,-62.6232,Tropical Atlantic,Exposed,2018,1,8.0,300.38,0.2,0.43,none,none
12.4858,-81.7024,Tropical Atlantic,Exposed,2018,10,6.0,300.73,0.0,0.0,none,none
12.5372,-81.7359,Tropical Atlantic,Sheltered,2018,10,12.0,300.75,0.0,0.0,none,none
12.5929,-81.7408,Tropical Atlantic,Sheltered,2018,10,10.7,300.73,6.76,4.0,none,none
12.4849,-61.4956,Tropical Atlantic,Sheltered,2018,7,9.5,300.44,0.0,3.0,none,none
21.7859,-72.205,Tropical Atlantic,Sheltered,2018,9,4.0,300.0,0.0,0.0,none,none
15.2349,-61.3666,Tropical Atlantic,Sheltered,2018,1,1.0,300.51,0.0,0.5,none,none
15.2367,-61.3699,Tropical Atlantic,Sheltered,2018,1,10.5,300.53,0.0,0.0,none,none
15.4392,-61.4458,Tropical Atlantic,Sheltered,2018,1,14.0,300.72,0.0,0.0,none,none
15.3808,-61.4125,Tropical Atlantic,Sheltered,2018,1,6.0,300.72,0.0,0.0,none,none
15.2369,-61.3701,Tropical Atlantic,Sheltered,2018,1,8.0,300.53,0.0,0.0,none,none
11.301,-60.5077,Tropical Atlantic,Sheltered,2018,2,11.9,300.5,0.0,2.0,none,none
11.2911,-74.1937,Tropical Atlantic,Sheltered,2018,5,5.8,299.83,0.0,2.0,none,none
12.5217,-81.7298,Tropical Atlantic,Sheltered,2018,10,11.1,300.75,0.0,0.0,none,none
15.2138,-61.3718,Tropical Atlantic,Sheltered,2018,1,8.0,300.53,0.0,0.0,none,none
15.5905,-61.4741,Tropical Atlantic,Sheltered,2018,1,10.0,300.64,0.0,0.0,none,none
